Ticker,close,date,high,low,month,open,volume,Daily Return
ULTRACEMCO,11667.9,6/28/2024 5:30,11779,11469.85,2024-06,11699.9,684790,-0.002735066
ULTRACEMCO,11904.65,7/1/2024 5:30,12031.6,11667.9,2024-07,11669,520339,0.020194533
ULTRACEMCO,11853.95,7/2/2024 5:30,12078,11800,2024-07,11944,422173,-0.00753935
ULTRACEMCO,11872.1,7/3/2024 5:30,11899,11761.95,2024-07,11855.25,206171,0.001421311
ULTRACEMCO,11760.05,7/4/2024 5:30,11936.85,11721.55,2024-07,11885,227230,-0.010513252
ULTRACEMCO,11690.15,7/5/2024 5:30,11824.55,11620.25,2024-07,11796.55,425987,-0.009019586
ULTRACEMCO,11582.9,7/8/2024 5:30,11714.8,11530,2024-07,11694,149210,-0.009500599
ULTRACEMCO,11679.8,7/9/2024 5:30,11761.7,11484.45,2024-07,11582.95,530901,0.008361428
ULTRACEMCO,11634.25,7/10/2024 5:30,11739.8,11470,2024-07,11689,202406,-0.004683891
ULTRACEMCO,11554.95,7/11/2024 5:30,11640,11499,2024-07,11599,366819,-0.003797741
ULTRACEMCO,11602.3,7/12/2024 5:30,11680,11470.05,2024-07,11554,366274,0.00418037
ULTRACEMCO,11833.65,7/15/2024 5:30,11898,11661.9,2024-07,11752.9,394470,0.006870645
ULTRACEMCO,11658.7,7/16/2024 5:30,11907.05,11631.9,2024-07,11907.05,556056,-0.020857391
ULTRACEMCO,11647.25,7/18/2024 5:30,11683.85,11475,2024-07,11650,731274,-0.000236052
ULTRACEMCO,11258.3,7/19/2024 5:30,11645,11228.65,2024-07,11645,514154,-0.033207385
ULTRACEMCO,11515.7,7/22/2024 5:30,11570,11231.3,2024-07,11289.9,573833,0.020000177
ULTRACEMCO,11545.8,7/23/2024 5:30,11735.4,11329.1,2024-07,11649.95,525157,-0.008939953
ULTRACEMCO,11453.4,7/24/2024 5:30,11560.75,11355.65,2024-07,11540,268139,-0.007504333
ULTRACEMCO,11441.5,7/25/2024 5:30,11476.8,11291,2024-07,11418,254683,0.002058154
ULTRACEMCO,11673.05,7/26/2024 5:30,11742.45,11395.6,2024-07,11441.5,333210,0.020237731
ULTRACEMCO,11873.8,7/29/2024 5:30,11940,11673.05,2024-07,11680,496437,0.016592466
ULTRACEMCO,11806.45,7/30/2024 5:30,11858,11644.5,2024-07,11858,438108,-0.004347276
ULTRACEMCO,11887.2,7/31/2024 5:30,11915,11750.35,2024-07,11818.95,322531,0.005774625
ULTRACEMCO,11984.5,8/1/2024 5:30,12032.3,11803.5,2024-08,11887.2,250126,0.008185275
ULTRACEMCO,11764.5,8/2/2024 5:30,11949,11700,2024-08,11833.05,273420,-0.005793096
ULTRACEMCO,11417.25,8/5/2024 5:30,11700,11351.2,2024-08,11700,400844,-0.024166667
ULTRACEMCO,11325.3,8/6/2024 5:30,11575.8,11272.1,2024-08,11449.95,368949,-0.01088651
ULTRACEMCO,11543.2,8/7/2024 5:30,11589.95,11430.2,2024-08,11499,230210,0.003843813
ULTRACEMCO,11258,8/8/2024 5:30,11524.2,11228.75,2024-08,11500,290349,-0.021043478
ULTRACEMCO,11300.35,8/9/2024 5:30,11449,11231.05,2024-08,11449,189230,-0.012983667
ULTRACEMCO,11302.85,8/12/2024 5:30,11379.8,11211.2,2024-08,11290,200411,0.001138175
ULTRACEMCO,11271.2,8/13/2024 5:30,11364,11234.65,2024-08,11364,189972,-0.008166139
ULTRACEMCO,11002.6,8/14/2024 5:30,11200,10963.1,2024-08,11200,404673,-0.017625
ULTRACEMCO,11295.7,8/16/2024 5:30,11325,10950.2,2024-08,11040,435631,0.023161232
ULTRACEMCO,11315.35,8/19/2024 5:30,11468.1,11271.75,2024-08,11320,244264,-0.000410777
ULTRACEMCO,11349.7,8/20/2024 5:30,11525,11277.45,2024-08,11365,421084,-0.001346238
ULTRACEMCO,11200.9,8/21/2024 5:30,11312.55,11161.55,2024-08,11274,456794,-0.006483945
ULTRACEMCO,11309.4,8/22/2024 5:30,11377.4,11205,2024-08,11260,305457,0.004387211
ULTRACEMCO,11341.8,8/23/2024 5:30,11380,11204.45,2024-08,11315,258730,0.002368537
ULTRACEMCO,11337.1,8/26/2024 5:30,11360.95,11271.4,2024-08,11340,234215,-0.000255732
ULTRACEMCO,11300.35,8/27/2024 5:30,11450,11286.45,2024-08,11389.1,184428,-0.007792538
ULTRACEMCO,11234.8,8/28/2024 5:30,11317.6,11211,2024-08,11280,201101,-0.004007092
ULTRACEMCO,11222,8/29/2024 5:30,11256.7,11115.4,2024-08,11230,406261,-0.000712378
ULTRACEMCO,11301.9,8/30/2024 5:30,11360.9,11222,2024-08,11225.05,462185,0.006846295
ULTRACEMCO,11424.9,9/2/2024 5:30,11465,11325,2024-09,11325,248673,0.008821192
ULTRACEMCO,11460.8,9/3/2024 5:30,11504.05,11361,2024-09,11434.5,181723,0.002300057
ULTRACEMCO,11580.45,9/4/2024 5:30,11637.45,11381.85,2024-09,11392,198185,0.01654231
ULTRACEMCO,11542.65,9/5/2024 5:30,11822.75,11514.2,2024-09,11630.45,406821,-0.007549149
ULTRACEMCO,11432.85,9/6/2024 5:30,11525,11320,2024-09,11500,245248,-0.00583913
ULTRACEMCO,11494.35,9/9/2024 5:30,11518.45,11308,2024-09,11400,154665,0.008276316
ULTRACEMCO,11541.05,9/10/2024 5:30,11639.45,11460.5,2024-09,11539.9,237496,9.96542E-05
ULTRACEMCO,11487.45,9/11/2024 5:30,11611,11460.2,2024-09,11570,141341,-0.007134831
ULTRACEMCO,11710.25,9/12/2024 5:30,11735,11442.25,2024-09,11507.85,455934,0.017587994
ULTRACEMCO,11717.95,9/13/2024 5:30,11762.6,11625.2,2024-09,11695,279660,0.001962377
ULTRACEMCO,11642.65,9/16/2024 5:30,11797.95,11604,2024-09,11675,257856,-0.002770878
ULTRACEMCO,11645.65,9/17/2024 5:30,11718.6,11575,2024-09,11602.55,202725,0.003714701
ULTRACEMCO,11630.9,9/18/2024 5:30,11763.3,11535.85,2024-09,11683,185067,-0.004459471
ULTRACEMCO,11627.5,9/19/2024 5:30,11740.15,11540,2024-09,11630.9,227247,-0.000292325
ULTRACEMCO,11798.3,9/20/2024 5:30,11843.9,11579.6,2024-09,11660,608787,0.011861063
ULTRACEMCO,11962.05,9/23/2024 5:30,11998,11800.05,2024-09,11835,279318,0.010735108
ULTRACEMCO,11761.65,9/24/2024 5:30,11969.85,11740.35,2024-09,11948.1,242038,-0.015604992
ULTRACEMCO,11816.3,9/25/2024 5:30,11855.6,11680,2024-09,11811,196686,0.000448734
ULTRACEMCO,12065,9/26/2024 5:30,12080,11767.8,2024-09,11835,277079,0.019433883
ULTRACEMCO,11952.3,9/27/2024 5:30,12138,11924.75,2024-09,12065,404276,-0.009341069
ULTRACEMCO,11802,9/30/2024 5:30,11924,11774.05,2024-09,11924,405493,-0.010231466
ULTRACEMCO,11837.15,10/1/2024 5:30,11887.7,11650.25,2024-10,11802,324906,0.002978309
ULTRACEMCO,11724.8,10/3/2024 5:30,11930,11613.1,2024-10,11627.1,304610,0.008402783
ULTRACEMCO,11450.25,10/4/2024 5:30,11829.15,11380,2024-10,11700,357277,-0.021346154
ULTRACEMCO,11230.35,10/7/2024 5:30,11529.95,11192.1,2024-10,11491.95,374655,-0.022763761
ULTRACEMCO,11389.8,10/8/2024 5:30,11475,11231,2024-10,11231,447220,0.014139435
ULTRACEMCO,11350.15,10/9/2024 5:30,11511,11333,2024-10,11404.05,286382,-0.004726391
ULTRACEMCO,11430.05,10/10/2024 5:30,11459,11353.55,2024-10,11439.95,180542,-0.000865388
ULTRACEMCO,11421.3,10/11/2024 5:30,11468.3,11360.2,2024-10,11390.75,120279,0.002682001
ULTRACEMCO,11300.3,10/14/2024 5:30,11429.95,11240,2024-10,11399.95,144163,-0.008741266
ULTRACEMCO,11416.9,10/15/2024 5:30,11432.95,11290,2024-10,11400,182286,0.001482456
ULTRACEMCO,11322.3,10/16/2024 5:30,11412,11233,2024-10,11341,276811,-0.001648885
ULTRACEMCO,11017.3,10/17/2024 5:30,11363.95,10934.05,2024-10,11351,353330,-0.029398291
ULTRACEMCO,11069.3,10/18/2024 5:30,11139.95,10901,2024-10,11017.3,330703,0.00471985
ULTRACEMCO,10869.3,10/21/2024 5:30,11166.65,10771.4,2024-10,11050,566667,-0.016352941
ULTRACEMCO,10825.15,10/22/2024 5:30,11080.8,10740,2024-10,10751,793887,0.006897033
ULTRACEMCO,10753.05,10/23/2024 5:30,10843.65,10672,2024-10,10821.95,351717,-0.00636669
ULTRACEMCO,11043.6,10/24/2024 5:30,11085,10718.4,2024-10,10753.05,341400,0.027020241
ULTRACEMCO,10995.2,10/25/2024 5:30,11115,10950,2024-10,11063.7,519646,-0.006191419
ULTRACEMCO,11092.6,10/28/2024 5:30,11199.35,10899.6,2024-10,11000,229113,0.008418182
ULTRACEMCO,11112.1,10/29/2024 5:30,11136.95,10917.05,2024-10,11074,266761,0.003440491
ULTRACEMCO,11205.1,10/30/2024 5:30,11230,11011.4,2024-10,11115,239933,0.008106163
ULTRACEMCO,11065.65,10/31/2024 5:30,11250.9,11042.55,2024-10,11156.8,423687,-0.008169905
ULTRACEMCO,11145.8,11/1/2024 5:30,11171.3,11078.55,2024-11,11079.95,19032,0.005943168
ULTRACEMCO,11001.85,11/4/2024 5:30,11156.75,10930.05,2024-11,11147,276984,-0.013021441
ULTRACEMCO,11176.35,11/5/2024 5:30,11188.05,10973.25,2024-11,10983.65,274422,0.017544259
ULTRACEMCO,11274.4,11/6/2024 5:30,11306.9,11112,2024-11,11225,282486,0.004400891
ULTRACEMCO,11050.8,11/7/2024 5:30,11244.95,11001.1,2024-11,11241.55,326254,-0.016968301
ULTRACEMCO,11043.35,11/8/2024 5:30,11139.35,10960.7,2024-11,11029.1,155894,0.001292037
ULTRACEMCO,10970.45,11/11/2024 5:30,11109.95,10896.05,2024-11,11015,107472,-0.004044485
ULTRACEMCO,10892,11/12/2024 5:30,11074.75,10840,2024-11,10970.5,166347,-0.007155554
ULTRACEMCO,10782.2,11/13/2024 5:30,10873.5,10750,2024-11,10803.3,216900,-0.001953107
ULTRACEMCO,10728.5,11/14/2024 5:30,10832.5,10542.5,2024-11,10726,297442,0.000233079
ULTRACEMCO,10630.9,11/18/2024 5:30,10766.85,10580.4,2024-11,10632.1,424186,-0.000112866
ULTRACEMCO,10769.55,11/19/2024 5:30,10870,10657.9,2024-11,10684.05,220357,0.008002583
ULTRACEMCO,10954.85,11/21/2024 5:30,11005.85,10555,2024-11,10555,256924,0.03788252
ULTRACEMCO,11375.3,11/22/2024 5:30,11409.9,10931.65,2024-11,10999,328426,0.034212201
WIPRO,405.45,10/3/2023 5:30,408.1,403.6,2023-10,406.45,2864052,-0.002460327
WIPRO,404.9,10/4/2023 5:30,405.45,400.65,2023-10,402.7,3452935,0.005463124
WIPRO,406.8,10/5/2023 5:30,410.4,405,2023-10,407.95,4062652,-0.002818973
WIPRO,407.85,10/6/2023 5:30,409.8,406.95,2023-10,408,3182502,-0.000367647
WIPRO,405.6,10/9/2023 5:30,411,403.4,2023-10,404.2,3015225,0.003463632
WIPRO,407.75,10/10/2023 5:30,408.75,406.2,2023-10,406.4,2564007,0.00332185
WIPRO,421.15,10/11/2023 5:30,423.95,409,2023-10,409,9546114,0.029706601
WIPRO,417.1,10/12/2023 5:30,421.9,414.7,2023-10,421.75,5117199,-0.011025489
WIPRO,411.05,10/13/2023 5:30,414.4,409.05,2023-10,411.9,5457027,-0.002063608
